open_timestamp_utc,close_timestamp_utc,open,high,low,close,volume
1502942400,1502945999,4261.48000000,4313.62000000,4261.32000000,4308.83000000,47.18100900
1502946000,1502949599,4308.83000000,4328.69000000,4291.37000000,4315.32000000,23.23491600
1502949600,1502953199,4330.29000000,4345.45000000,4309.37000000,4324.35000000,7.22969100
1502953200,1502956799,4316.62000000,4349.99000000,4287.41000000,4349.99000000,4.44324900
1502956800,1502960399,4333.32000000,4377.85000000,4333.32000000,4360.69000000,0.97280700
1502960400,1502963999,4360.00000000,4445.78000000,4360.00000000,4444.00000000,10.76362300
1502964000,1502967599,4441.10000000,4470.00000000,4399.81000000,4460.00000000,24.86539900
1502967600,1502971199,4460.00000000,4485.39000000,4427.30000000,4427.30000000,27.01805300
1502971200,1502974799,4436.06000000,4449.56000000,4411.00000000,4411.00000000,23.03239800
1502974800,1502978399,4411.00000000,4459.00000000,4411.00000000,4459.00000000,31.31243600
1502978400,1502981999,4459.00000000,4485.39000000,4435.93000000,4470.82000000,51.73589700
1502982000,1502985599,4470.82000000,4470.82000000,4333.42000000,4352.34000000,68.48127000
1502985600,1502989199,4352.33000000,4354.35000000,4255.30000000,4354.18000000,67.45879100
1502989200,1502992799,4354.18000000,4354.84000000,4235.45000000,4289.24000000,59.66491200
1502992800,1502996399,4289.24000000,4302.45000000,4218.68000000,4256.97000000,51.27516300
1502996400,1502999999,4241.91000000,4335.30000000,4200.74000000,4325.23000000,46.71085000
1503000000,1503003599,4307.56000000,4354.84000000,4258.56000000,4346.74000000,48.97547200
1503003600,1503007199,4346.74000000,4369.69000000,4309.23000000,4333.55000000,61.77303600
1503007200,1503010799,4333.55000000,4359.13000000,4310.00000000,4336.80000000,57.37614200
1503010800,1503014399,4313.39000000,4337.38000000,4280.82000000,4285.08000000,81.64526300
1503014400,1503017999,4285.08000000,4340.62000000,4228.76000000,4286.53000000,82.43547400
1503018000,1503021599,4269.36000000,4269.36000000,4134.61000000,4243.59000000,75.68488300
1503021600,1503025199,4251.95000000,4298.64000000,4234.00000000,4267.59000000,54.07133700
1503025200,1503028799,4244.77000000,4308.70000000,4234.00000000,4292.39000000,64.00134900
1503028800,1503032399,4292.39000000,4292.39000000,4234.43000000,4287.92000000,50.79751500
1503032400,1503035999,4287.92000000,4340.62000000,4250.04000000,4313.56000000,64.16928600
1503036000,1503039599,4313.56000000,4316.98000000,4247.75000000,4279.46000000,64.23542400
1503039600,1503043199,4279.46000000,4304.67000000,4270.48000000,4300.25000000,69.18680400
1503043200,1503046799,4285.00000000,4320.71000000,4259.85000000,4282.73000000,74.82984900
